0.8,-0.65,-1
0.47,0.64,1
-0.92,-0.54,1
0.19,0.02,1
0.11,0.05,1
-0.15,0.28,1
-0.04,-0.21,-1
0.64,-0.05,1
0.5,0.17,1
1,-0.1,1
-0.34,-0.28,-1
0.99,0.93,1
-0.34,-0.04,1
0.02,0.41,1
0.42,-0.86,-1
0.24,-0.68,-1
-0.77,-0.23,1
-0.39,0.64,1
0.14,-0.36,-1
-0.36,0.21,1
-0.87,-0.39,1
-0.78,0.65,1
0.46,0.17,1
0.86,-0.41,1
-0.53,0.37,1
0.04,0.79,1
-0.25,-0.76,-1
-0.47,0.94,1
-0.91,-0.64,1
0.11,-0.57,-1
0.79,0.64,1
0.07,0.87,1
0.39,0.21,1
0.16,0.33,1
-0.49,-0.03,1
0.99,0.33,1
-0.11,-0.18,-1
-0.86,0.17,1
0.18,0.69,1
0.69,-0.6,-1
-0.63,0.7,1
-0.24,0.31,1
-0.86,-0.13,1
1,0.09,1
-0.67,0.21,1
-0.1,-0.57,-1
-0.21,-0.82,-1
0.16,-0.58,-1
0.61,0.77,1
0.05,0.77,1
-0.18,0.05,-1
-0.32,-0.84,-1
0.97,-0.15,1
-0.73,-0.83,-1
0,-0.8,-1
0.15,-0.43,-1
0.64,0.59,1
0.42,0.76,1
-0.41,0.87,1
0.78,0.19,1
0.47,-0.02,1
-0.8,-0.68,1
0.87,-0.03,1
0.32,-0.73,-1
0.21,-0.74,-1
-1,0.47,1
0.06,-1,-1
0.29,0.66,1
0.56,-0.86,-1
-0.03,0.6,1
0.52,0.69,1
-0.67,0.12,1
-0.28,-0.48,-1
0.41,0.27,1
-0.19,-0.79,-1
-0.84,-0.15,1
0.41,-0.8,-1
-0.53,0.23,1
-0.65,-0.11,1
0.91,0.3,1
-0.51,0.26,1
0.44,-0.64,-1
-0.57,0.38,1
-0.01,-0.56,-1
0.16,0.11,1
0.11,-0.65,-1
0.89,0.11,1
0.31,-0.2,-1
-0.44,-0.89,-1
0.08,-1,-1
0.72,-0.19,1
0.87,-0.36,1
-0.59,-0.68,-1
0.66,0.98,1
-0.97,-1,-1
0.94,0.32,1
0.74,-0.94,-1
0.06,0.21,1
0.61,0.98,1
-0.42,0.43,1
-0.04,-0.09,-1
-0.4,0.09,1
-0.45,-0.95,-1
-0.37,-0.6,-1
-0.75,0.6,1
-0.12,-0.1,1
-0.5,0.69,1
0.04,0.14,1
