  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,1
"(3, 1)",1,0,1,1
"(4, 1)",1,0,1,0
"(5, 1)",1,0,0,1
"(6, 1)",1,0,1,0
"(7, 1)",1,0,0,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,1
"(10, 1)",1,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",1,0,1,1
"(13, 1)",0,0,1,1
"(14, 1)",1,0,1,1
"(15, 1)",1,0,1,0
"(16, 1)",1,0,0,1
"(17, 1)",0,0,1,1
"(18, 1)",1,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",1,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",0,0,1,1
"(23, 1)",0,0,1,1
"(24, 1)",1,0,1,0
"(25, 1)",0,0,0,1
"(26, 1)",1,0,1,1
"(27, 1)",1,0,1,1
"(28, 1)",0,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,0
"(1, 2)",1,0,0,1
"(2, 2)",1,1,1,0
"(3, 2)",1,1,0,0
"(4, 2)",1,1,0,0
"(5, 2)",1,1,0,0
"(6, 2)",0,1,0,1
"(7, 2)",1,1,1,0
"(8, 2)",1,0,0,1
"(9, 2)",1,1,1,0
"(10, 2)",1,1,0,1
"(11, 2)",1,0,1,0
"(12, 2)",1,1,0,0
"(13, 2)",1,0,0,1
"(14, 2)",0,1,1,0
"(15, 2)",0,1,0,1
"(16, 2)",0,1,1,0
"(17, 2)",1,0,0,1
"(18, 2)",0,1,1,1
"(19, 2)",1,0,1,0
"(20, 2)",1,1,0,1
"(21, 2)",0,0,1,1
"(22, 2)",1,0,1,0
"(23, 2)",1,0,0,0
"(24, 2)",0,1,0,1
"(25, 2)",1,0,1,1
"(26, 2)",1,1,1,0
"(27, 2)",1,1,0,1
"(28, 2)",0,0,1,1
"(29, 2)",0,0,1,0
"(30, 2)",1,1,0,0
"(1, 3)",1,1,0,0
"(2, 3)",0,1,0,1
"(3, 3)",0,1,1,0
"(4, 3)",1,1,0,1
"(5, 3)",0,1,1,1
"(6, 3)",1,0,1,1
"(7, 3)",0,1,1,1
"(8, 3)",1,1,1,0
"(9, 3)",1,1,0,0
"(10, 3)",1,1,0,0
"(11, 3)",1,1,0,0
